r,meff,dmeff,config
1,0.266711066927254,0.000173265580619474,9
2,0.458960032022146,0.000491237987151729,6
3,0.622675453997721,0.00235100799184757,19
4,0.778346683189198,0.00384383778206743,8
5,0.933457623335309,0.00906494169014446,5
6,1.07334958318126,0.0229285299736524,6
7,1.24874911921657,0.016749170833942,3
8,1.41129185927458,0.0399044298084289,10
9,1.49261147634207,0.0860549860459828,4
10,1.80058196839924,0.0373073695980003,1
11,1.90708584025938,0.0679361437115744,1
12,2.06425061763564,0.141481469103908,7
13,1,1,1
14,1,1,1
