r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0126795783374253,2.22251736139736e-05,5.40958287529407
1,4,5,0.0126152598343832,2.42617391587516e-05,2.31434565700579
1,4,6,0.0125974660289961,2.46247858645959e-05,5.84711242398748
1,5,6,0.0125703133004738,2.63768894800636e-05,0.695151961232474
1,5,7,0.0125405281619417,2.63702679402628e-05,9.30761490188781
1,6,7,0.0125134545381456,2.74759681409975e-05,4.64626199606763
1,6,8,0.0124924103033733,2.87412785846754e-05,8.60230654871649
1,7,8,0.0124515723428826,3.15060677810622e-05,0.442250699820514
1,7,9,0.0124335797055647,3.30185220340286e-05,2.93709310875613
1,8,9,0.012411425994917,3.55558978044669e-05,1.105959861259
1,8,10,0.0123829884763713,3.72230119970667e-05,5.91538329933751
1,9,10,0.0123454228789409,4.03151913941899e-05,1.86456472400411
1,9,11,0.01230675757929,4.17665013114141e-05,8.40850755932126
1,10,11,0.0122572706137568,4.4393810266732e-05,2.31159702150535

2,4,5,0.0180815872522305,4.66611899210952e-05,9.14334827274639
2,5,6,0.0178726116205092,4.93799354784113e-05,6.49968402205911
2,7,8,0.017440575535784,5.95948869810284e-05,4.37984950860043
2,8,9,0.0172621789018838,6.63900332382882e-05,4.26259297369052
2,9,10,0.017007975733044,7.48686113291644e-05,7.45806492017305






